	k	p	c	o	f	g	s
OTU_2794	k:Bacteria	p:Latescibacteria	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
OTU_2797	k:Bacteria	p:Chloroflexi	c:Thermomicrobia	o:JG30-KF-CM45	Unclassified	Unclassified	Unclassified
OTU_2799	k:Bacteria	p:Planctomycetes	c:OM190	Unclassified	Unclassified	Unclassified	Unclassified
OTU_2800	k:Bacteria	p:Armatimonadetes	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
OTU_2804	k:Bacteria	p:Planctomycetes	c:Planctomycetacia	o:Planctomycetales	f:Planctomycetaceae	Unclassified	Unclassified
OTU_2803	k:Bacteria	p:Bacteroidetes	c:Sphingobacteriia	o:Sphingobacteriales	f:Chitinophagaceae	Unclassified	Unclassified
OTU_2802	k:Bacteria	p:Latescibacteria	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
OTU_2798	k:Bacteria	p:Acidobacteria	c:Acidobacteria	o:Subgroup_3	f:Unknown_Family	g:Candidatus_Solibacter	Unclassified
OTU_2801	k:Bacteria	p:Actinobacteria	c:Acidimicrobiia	o:Acidimicrobiales	Unclassified	Unclassified	Unclassified
OTU_2805	k:Bacteria	p:Proteobacteria	c:Alphaproteobacteria	o:Rhizobiales	f:Rhizobiales_Incertae_Sedis	g:Bauldia	Unclassified
OTU_2807	k:Bacteria	p:Chloroflexi	c:P2-11E	Unclassified	Unclassified	Unclassified	Unclassified
OTU_2806	k:Bacteria	p:Armatimonadetes	c:Chthonomonadetes	o:Chthonomonadales	f:Chthonomonadaceae	g:Chthonomonas	Unclassified
OTU_2810	k:Bacteria	p:Chloroflexi	c:Anaerolineae	o:Anaerolineales	f:Anaerolineaceae	Unclassified	Unclassified
OTU_2808	k:Bacteria	p:Planctomycetes	c:Planctomycetacia	o:Planctomycetales	f:Planctomycetaceae	g:Gemmata	Unclassified
OTU_2809	k:Bacteria	p:Bacteroidetes	c:Sphingobacteriia	o:Sphingobacteriales	f:AKYH767	Unclassified	Unclassified
