	k	p	c	o	f	g	s
OTU_188	k:Bacteria	p:Proteobacteria	c:Alphaproteobacteria	o:Rhodospirillales	f:Rhodospirillaceae	Unclassified	Unclassified
OTU_190	k:Bacteria	p:Proteobacteria	c:Gammaproteobacteria	o:Xanthomonadales	f:Xanthomonadales_Incertae_Sedis	g:Steroidobacter	Unclassified
OTU_191	k:Bacteria	p:Actinobacteria	c:Thermoleophilia	o:Gaiellales	Unclassified	Unclassified	Unclassified
OTU_192	k:Bacteria	p:Gemmatimonadetes	c:Gemmatimonadetes	o:Gemmatimonadales	f:Gemmatimonadaceae	Unclassified	Unclassified
OTU_193	k:Bacteria	p:Chloroflexi	c:TK10	Unclassified	Unclassified	Unclassified	Unclassified
OTU_189	k:Bacteria	p:Proteobacteria	c:Gammaproteobacteria	o:Xanthomonadales	f:Xanthomonadaceae	g:Rhodanobacter	Unclassified
OTU_194	k:Bacteria	p:Deinococcus-Thermus	c:Deinococci	o:Deinococcales	f:Deinococcaceae	g:Deinococcus	s:bacterium_Ellin510
OTU_195	k:Bacteria	p:Firmicutes	c:Bacilli	o:Bacillales	f:Alicyclobacillaceae	g:Tumebacillus	Unclassified
OTU_201	k:Bacteria	p:Chloroflexi	c:Chloroflexia	o:Chloroflexales	f:Roseiflexaceae	g:Roseiflexus	Unclassified
OTU_196	k:Bacteria	p:Proteobacteria	c:Alphaproteobacteria	o:Rhizobiales	f:Xanthobacteraceae	g:Labrys	Unclassified
OTU_200	k:Bacteria	p:Bacteroidetes	c:Bacteroidia	o:Bacteroidales	f:Bacteroidaceae	g:Bacteroides	s:Bacteroidaceae_bacterium_MS4
OTU_197	k:Bacteria	p:Actinobacteria	c:Thermoleophilia	o:Gaiellales	Unclassified	Unclassified	Unclassified
OTU_198	k:Bacteria	p:Actinobacteria	c:Thermoleophilia	o:Gaiellales	Unclassified	Unclassified	Unclassified
OTU_202	k:Bacteria	p:Bacteroidetes	c:Sphingobacteriia	o:Sphingobacteriales	f:Sphingobacteriaceae	g:Mucilaginibacter	s:Bacteroidetes_bacterium_LC9
OTU_199	k:Bacteria	p:Proteobacteria	c:Deltaproteobacteria	o:Myxococcales	f:Haliangiaceae	g:Haliangium	Unclassified
OTU_204	k:Bacteria	p:Deinococcus-Thermus	c:Deinococci	o:Deinococcales	f:Deinococcaceae	g:Deinococcus	s:Deinococcus_sp._6A4-1
OTU_203	k:Bacteria	p:Proteobacteria	c:Gammaproteobacteria	o:Pseudomonadales	f:Pseudomonadaceae	g:Pseudomonas	s:Pseudomonas_viridiflava
OTU_205	k:Bacteria	p:Proteobacteria	c:Betaproteobacteria	o:Burkholderiales	f:Comamonadaceae	Unclassified	Unclassified
OTU_206	k:Bacteria	p:Actinobacteria	c:Actinobacteria	o:Propionibacteriales	f:Nocardioidaceae	g:Nocardioides	Unclassified
OTU_207	k:Bacteria	p:Acidobacteria	c:Holophagae	o:Subgroup_7	Unclassified	Unclassified	Unclassified
OTU_209	k:Bacteria	p:Actinobacteria	c:Thermoleophilia	o:Gaiellales	Unclassified	Unclassified	Unclassified
OTU_208	k:Bacteria	p:Actinobacteria	c:Thermoleophilia	o:Solirubrobacterales	f:Patulibacteraceae	g:Patulibacter	Unclassified
OTU_211	k:Bacteria	p:Proteobacteria	c:Betaproteobacteria	Unclassified	Unclassified	Unclassified	Unclassified
OTU_210	k:Bacteria	p:Actinobacteria	c:Actinobacteria	o:Streptosporangiales	f:Thermomonosporaceae	g:Actinocorallia	Unclassified
OTU_213	k:Bacteria	p:Bacteroidetes	c:Cytophagia	o:Cytophagales	f:Cytophagaceae	g:Hymenobacter	s:Hymenobacter_sp._NBRC_101362
OTU_212	k:Bacteria	p:Proteobacteria	c:Betaproteobacteria	o:Nitrosomonadales	f:Nitrosomonadaceae	g:Nitrosospira	Unclassified
OTU_214	k:Bacteria	p:Proteobacteria	c:Gammaproteobacteria	o:Pasteurellales	f:Pasteurellaceae	g:Haemophilus	s:unidentified
OTU_215	k:Bacteria	p:Chloroflexi	c:TK10	Unclassified	Unclassified	Unclassified	Unclassified
OTU_218	k:Bacteria	p:Cyanobacteria	c:Cyanobacteria	Unclassified	Unclassified	Unclassified	Unclassified
OTU_216	k:Bacteria	p:Acidobacteria	c:Acidobacteria	o:Subgroup_4	f:Unknown_Family	g:Blastocatella	Unclassified
OTU_217	k:Bacteria	p:Proteobacteria	c:Alphaproteobacteria	o:Rhizobiales	f:Methylobacteriaceae	g:Microvirga	s:Microvirga_aerophila
OTU_219	k:Bacteria	p:Firmicutes	c:Clostridia	o:Clostridiales	f:Family_XI	g:Finegoldia	s:Finegoldia_sp._MVA6
OTU_222	k:Bacteria	p:Chloroflexi	c:Thermomicrobia	o:JG30-KF-CM45	Unclassified	Unclassified	Unclassified
OTU_221	k:Bacteria	p:Actinobacteria	c:Thermoleophilia	o:Gaiellales	Unclassified	Unclassified	Unclassified
OTU_223	k:Bacteria	p:Deinococcus-Thermus	c:Deinococci	o:Deinococcales	f:Deinococcaceae	g:Deinococcus	Unclassified
OTU_224	k:Bacteria	p:Bacteroidetes	c:Sphingobacteriia	o:Sphingobacteriales	f:Chitinophagaceae	g:Flavisolibacter	Unclassified
OTU_220	k:Bacteria	p:Actinobacteria	c:Actinobacteria	o:Corynebacteriales	f:Corynebacteriaceae	g:Corynebacterium_1	s:Corynebacterium_sp._ICIRC105
OTU_225	k:Bacteria	p:Actinobacteria	c:Thermoleophilia	o:Solirubrobacterales	f:Patulibacteraceae	g:Patulibacter	Unclassified
OTU_229	k:Bacteria	p:Gemmatimonadetes	c:Gemmatimonadetes	o:Gemmatimonadales	f:Gemmatimonadaceae	g:Gemmatimonas	Unclassified
OTU_227	k:Bacteria	p:Proteobacteria	c:Alphaproteobacteria	o:Rhodospirillales	f:DA111	Unclassified	Unclassified
OTU_226	k:Bacteria	p:Actinobacteria	c:Actinobacteria	o:Pseudonocardiales	f:Pseudonocardiaceae	Unclassified	Unclassified
OTU_230	k:Bacteria	p:Actinobacteria	c:Thermoleophilia	o:Gaiellales	Unclassified	Unclassified	Unclassified
OTU_228	k:Bacteria	p:Acidobacteria	c:Holophagae	o:Subgroup_7	Unclassified	Unclassified	Unclassified
OTU_231	k:Bacteria	p:Proteobacteria	c:Alphaproteobacteria	o:Sphingomonadales	f:Sphingomonadaceae	g:Novosphingobium	Unclassified
OTU_233	k:Bacteria	p:Deinococcus-Thermus	c:Deinococci	o:Deinococcales	f:Deinococcaceae	g:Deinococcus	Unclassified
OTU_232	k:Bacteria	p:Proteobacteria	c:Alphaproteobacteria	o:Sphingomonadales	f:Erythrobacteraceae	g:Porphyrobacter	Unclassified
OTU_234	k:Bacteria	p:Firmicutes	c:Clostridia	o:Clostridiales	f:Lachnospiraceae	g:Fusicatenibacter	s:Fusicatenibacter_saccharivorans
OTU_240	k:Archaea	p:Thaumarchaeota	c:Soil_Crenarchaeotic	Unclassified	Unclassified	Unclassified	Unclassified
OTU_235	k:Bacteria	p:Actinobacteria	c:MB-A2-108	Unclassified	Unclassified	Unclassified	Unclassified
OTU_239	k:Bacteria	p:Gemmatimonadetes	c:Gemmatimonadetes	o:Gemmatimonadales	f:Gemmatimonadaceae	Unclassified	Unclassified
OTU_241	k:Bacteria	p:Chloroflexi	c:Chloroflexia	o:Chloroflexales	f:Roseiflexaceae	g:Roseiflexus	Unclassified
OTU_236	k:Bacteria	p:Actinobacteria	c:Thermoleophilia	o:Gaiellales	Unclassified	Unclassified	Unclassified
OTU_238	k:Bacteria	p:Acidobacteria	c:Acidobacteria	o:Acidobacteriales	f:Acidobacteriaceae_[Subgroup_1]	Unclassified	Unclassified
OTU_237	k:Bacteria	p:Actinobacteria	c:Thermoleophilia	o:Solirubrobacterales	f:480-2	Unclassified	Unclassified
OTU_242	k:Bacteria	p:Proteobacteria	c:Alphaproteobacteria	o:Rhizobiales	f:Bradyrhizobiaceae	Unclassified	Unclassified
OTU_245	k:Archaea	p:Thaumarchaeota	c:Soil_Crenarchaeotic	Unclassified	Unclassified	Unclassified	Unclassified
OTU_243	k:Bacteria	p:Proteobacteria	c:Alphaproteobacteria	o:Rhodospirillales	f:DA111	Unclassified	Unclassified
OTU_250	k:Bacteria	p:Planctomycetes	c:Phycisphaerae	o:WD2101_soil_group	Unclassified	Unclassified	Unclassified
OTU_248	k:Bacteria	p:Deinococcus-Thermus	c:Deinococci	o:Deinococcales	f:Deinococcaceae	g:Deinococcus	s:Deinococcus_sp._DY49
OTU_244	k:Bacteria	p:Actinobacteria	c:Actinobacteria	o:Streptosporangiales	f:Thermomonosporaceae	g:Actinomadura	Unclassified
OTU_247	k:Bacteria	p:Proteobacteria	c:Alphaproteobacteria	o:Rhizobiales	f:Hyphomicrobiaceae	g:Rhodomicrobium	Unclassified
OTU_251	k:Bacteria	p:Proteobacteria	c:Alphaproteobacteria	o:Sphingomonadales	f:Sphingomonadaceae	g:Sphingomonas	s:Kaistobacter_terrae
OTU_246	k:Bacteria	p:Actinobacteria	c:Actinobacteria	o:Kineosporiales	f:Kineosporiaceae	g:Angustibacter	Unclassified
OTU_249	k:Bacteria	p:Actinobacteria	c:Actinobacteria	o:Corynebacteriales	f:Corynebacteriaceae	g:Corynebacterium_1	Unclassified
OTU_252	k:Bacteria	p:Firmicutes	c:Clostridia	o:Clostridiales	f:Family_XI	g:Anaerococcus	Unclassified
OTU_253	k:Bacteria	p:Acidobacteria	c:Acidobacteria	o:Acidobacteriales	f:Acidobacteriaceae_[Subgroup_1]	Unclassified	Unclassified
OTU_254	k:Bacteria	p:Proteobacteria	c:Betaproteobacteria	o:Burkholderiales	f:Oxalobacteraceae	g:Massilia	s:Duganella_sp._CMJ1-26
OTU_257	k:Bacteria	p:Actinobacteria	c:Thermoleophilia	o:Solirubrobacterales	f:480-2	Unclassified	Unclassified
OTU_256	k:Bacteria	p:Proteobacteria	c:Alphaproteobacteria	o:Sphingomonadales	f:Sphingomonadaceae	g:Novosphingobium	Unclassified
OTU_258	k:Bacteria	p:Deinococcus-Thermus	c:Deinococci	o:Deinococcales	f:Deinococcaceae	g:Deinococcus	s:Deinococcus_sp._28A
OTU_260	k:Bacteria	p:Cyanobacteria	c:Cyanobacteria	o:SubsectionIII	f:FamilyI	g:Leptolyngbya	Unclassified
OTU_255	k:Bacteria	p:Actinobacteria	c:Actinobacteria	o:Micromonosporales	f:Micromonosporaceae	Unclassified	Unclassified
OTU_259	k:Bacteria	p:Proteobacteria	c:Betaproteobacteria	o:Methylophilales	f:Methylophilaceae	g:Methylophilus	Unclassified
OTU_261	k:Bacteria	p:Actinobacteria	c:Thermoleophilia	o:Gaiellales	Unclassified	Unclassified	Unclassified
OTU_262	k:Bacteria	p:Proteobacteria	c:Alphaproteobacteria	o:Rhodospirillales	f:DA111	Unclassified	Unclassified
OTU_264	k:Bacteria	p:Verrucomicrobia	c:Spartobacteria	o:Chthoniobacterales	f:DA101_soil_group	Unclassified	Unclassified
OTU_263	k:Bacteria	p:Proteobacteria	c:Alphaproteobacteria	o:Rhizobiales	Unclassified	Unclassified	Unclassified
OTU_268	k:Archaea	p:Thaumarchaeota	c:Soil_Crenarchaeotic	Unclassified	Unclassified	Unclassified	Unclassified
OTU_265	k:Bacteria	p:Actinobacteria	c:Thermoleophilia	o:Gaiellales	Unclassified	Unclassified	Unclassified
OTU_267	k:Bacteria	p:Actinobacteria	c:Thermoleophilia	o:Solirubrobacterales	f:FFCH13075	Unclassified	Unclassified
OTU_269	k:Bacteria	p:Proteobacteria	c:Alphaproteobacteria	o:Rhizobiales	f:Phyllobacteriaceae	g:Mesorhizobium	Unclassified
OTU_271	k:Bacteria	p:Bacteroidetes	c:Cytophagia	o:Cytophagales	f:Cytophagaceae	g:Chryseolinea	s:Chryseolinea_serpens
OTU_266	k:Bacteria	p:Proteobacteria	c:Betaproteobacteria	o:TRA3-20	Unclassified	Unclassified	Unclassified
OTU_270	k:Bacteria	p:Proteobacteria	c:Betaproteobacteria	o:Nitrosomonadales	f:Nitrosomonadaceae	Unclassified	Unclassified
OTU_272	k:Bacteria	p:Nitrospirae	c:Nitrospira	o:Nitrospirales	f:0319-6A21	Unclassified	Unclassified
OTU_274	k:Bacteria	p:Actinobacteria	c:Thermoleophilia	o:Solirubrobacterales	f:480-2	Unclassified	Unclassified
OTU_275	k:Bacteria	p:Proteobacteria	c:Alphaproteobacteria	o:Rhizobiales	f:Methylobacteriaceae	g:Methylobacterium	s:Methylobacterium_sp._AG46
OTU_273	k:Bacteria	p:Proteobacteria	c:Betaproteobacteria	o:Burkholderiales	f:Burkholderiaceae	g:Burkholderia	Unclassified
OTU_276	k:Bacteria	p:Nitrospirae	c:Nitrospira	o:Nitrospirales	f:0319-6A21	Unclassified	Unclassified
OTU_277	k:Bacteria	p:Actinobacteria	c:Thermoleophilia	o:Solirubrobacterales	f:Elev-16S-1332	Unclassified	Unclassified
OTU_280	k:Bacteria	p:Acidobacteria	c:Acidobacteria	o:Subgroup_4	f:RB41	Unclassified	Unclassified
OTU_278	k:Bacteria	p:Acidobacteria	c:Acidobacteria	o:Subgroup_6	Unclassified	Unclassified	Unclassified
OTU_279	k:Bacteria	p:Actinobacteria	c:Thermoleophilia	o:Solirubrobacterales	f:0319-6M6	Unclassified	Unclassified
OTU_284	k:Bacteria	p:Chloroflexi	c:Thermomicrobia	o:JG30-KF-CM45	Unclassified	Unclassified	Unclassified
OTU_282	k:Bacteria	p:Acidobacteria	c:Acidobacteria	o:Acidobacteriales	f:Acidobacteriaceae_[Subgroup_1]	Unclassified	Unclassified
OTU_281	k:Bacteria	p:Actinobacteria	c:Acidimicrobiia	o:Acidimicrobiales	Unclassified	Unclassified	Unclassified
OTU_285	k:Bacteria	p:Chloroflexi	c:Thermomicrobia	o:JG30-KF-CM45	Unclassified	Unclassified	Unclassified
OTU_283	k:Bacteria	p:Proteobacteria	c:Alphaproteobacteria	o:Rhizobiales	f:Rhizobiales_Incertae_Sedis	g:Alsobacter	Unclassified
OTU_290	k:Bacteria	p:Armatimonadetes	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
OTU_287	k:Bacteria	p:Chloroflexi	c:KD4-96	Unclassified	Unclassified	Unclassified	Unclassified
OTU_286	k:Bacteria	p:Firmicutes	c:Clostridia	o:Clostridiales	f:Lachnospiraceae	g:Blautia	Unclassified
OTU_288	k:Bacteria	p:Actinobacteria	c:Actinobacteria	o:Micromonosporales	f:Micromonosporaceae	g:Dactylosporangium	Unclassified
OTU_289	k:Bacteria	p:Firmicutes	c:Clostridia	o:Clostridiales	f:Lachnospiraceae	g:Lachnospiraceae_ND3007_group	s:Roseburia_sp._1120
OTU_293	k:Bacteria	p:Bacteroidetes	c:Cytophagia	o:Cytophagales	f:Cytophagaceae	g:Hymenobacter	Unclassified
OTU_291	k:Bacteria	p:Actinobacteria	c:Thermoleophilia	o:Gaiellales	Unclassified	Unclassified	Unclassified
OTU_294	k:Bacteria	p:Chloroflexi	c:KD4-96	Unclassified	Unclassified	Unclassified	Unclassified
OTU_292	k:Bacteria	p:Proteobacteria	c:Alphaproteobacteria	o:Rhizobiales	f:Hyphomicrobiaceae	g:Devosia	Unclassified
OTU_296	k:Bacteria	p:Bacteroidetes	c:Sphingobacteriia	o:Sphingobacteriales	f:Chitinophagaceae	Unclassified	Unclassified
OTU_295	k:Bacteria	p:Proteobacteria	c:Betaproteobacteria	o:Methylophilales	f:Methylophilaceae	Unclassified	Unclassified
OTU_299	k:Bacteria	p:Chloroflexi	c:S085	Unclassified	Unclassified	Unclassified	Unclassified
OTU_298	k:Bacteria	p:Actinobacteria	c:Acidimicrobiia	o:Acidimicrobiales	Unclassified	Unclassified	Unclassified
OTU_297	k:Bacteria	p:Firmicutes	c:Clostridia	o:Clostridiales	f:Lachnospiraceae	g:Blautia	s:unidentified
OTU_300	k:Bacteria	p:Proteobacteria	c:Deltaproteobacteria	o:Myxococcales	f:BIrii41	Unclassified	Unclassified
OTU_301	k:Bacteria	p:Chloroflexi	c:TK10	Unclassified	Unclassified	Unclassified	Unclassified
OTU_302	k:Bacteria	p:Proteobacteria	c:Deltaproteobacteria	o:GR-WP33-30	Unclassified	Unclassified	Unclassified
OTU_303	k:Bacteria	p:Proteobacteria	c:Alphaproteobacteria	o:Rhizobiales	f:BCf3-20	Unclassified	Unclassified
OTU_305	k:Bacteria	p:Bacteroidetes	c:Sphingobacteriia	o:Sphingobacteriales	f:Sphingobacteriaceae	g:Sphingobacterium	Unclassified
OTU_306	k:Bacteria	p:Acidobacteria	c:Acidobacteria	o:Subgroup_4	f:Unknown_Family	g:Blastocatella	Unclassified
OTU_304	k:Bacteria	p:Acidobacteria	c:Acidobacteria	o:Subgroup_3	f:Unknown_Family	g:Candidatus_Solibacter	Unclassified
OTU_307	k:Bacteria	p:Planctomycetes	c:Phycisphaerae	o:WD2101_soil_group	Unclassified	Unclassified	Unclassified
OTU_310	k:Bacteria	p:Proteobacteria	c:Alphaproteobacteria	o:Rhodospirillales	f:Acetobacteraceae	Unclassified	Unclassified
OTU_311	k:Bacteria	p:Actinobacteria	c:Thermoleophilia	o:Gaiellales	Unclassified	Unclassified	Unclassified
OTU_309	k:Bacteria	p:Proteobacteria	c:Betaproteobacteria	o:Burkholderiales	f:Alcaligenaceae	g:Achromobacter	Unclassified
OTU_308	k:Bacteria	p:Proteobacteria	c:Gammaproteobacteria	o:Pseudomonadales	f:Moraxellaceae	g:Acinetobacter	Unclassified
OTU_313	k:Bacteria	p:Gemmatimonadetes	c:Gemmatimonadetes	o:Gemmatimonadales	f:Gemmatimonadaceae	Unclassified	Unclassified
OTU_315	k:Bacteria	p:Gemmatimonadetes	c:Gemmatimonadetes	o:Gemmatimonadales	f:Gemmatimonadaceae	g:Gemmatimonas	Unclassified
OTU_314	k:Bacteria	p:Armatimonadetes	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
OTU_312	k:Bacteria	p:Proteobacteria	c:Alphaproteobacteria	o:Rhodospirillales	f:Rhodospirillaceae	g:Inquilinus	s:alpha_proteobacterium_PX3.14
OTU_316	k:Bacteria	p:Proteobacteria	c:Betaproteobacteria	o:Burkholderiales	f:Burkholderiaceae	g:Cupriavidus	Unclassified
OTU_317	k:Bacteria	p:Chloroflexi	c:TK10	Unclassified	Unclassified	Unclassified	Unclassified
OTU_321	k:Bacteria	p:Chloroflexi	c:Anaerolineae	o:Anaerolineales	f:Anaerolineaceae	Unclassified	Unclassified
OTU_320	k:Bacteria	p:Bacteroidetes	c:Cytophagia	o:Cytophagales	f:Cytophagaceae	g:Hymenobacter	Unclassified
OTU_322	k:Bacteria	p:Verrucomicrobia	c:Opitutae	o:Opitutales	f:Opitutaceae	g:Opitutus	Unclassified
OTU_327	k:Bacteria	p:Chloroflexi	c:Anaerolineae	o:Anaerolineales	f:Anaerolineaceae	Unclassified	Unclassified
OTU_318	k:Bacteria	p:Proteobacteria	c:Betaproteobacteria	o:Nitrosomonadales	f:Nitrosomonadaceae	Unclassified	Unclassified
OTU_319	k:Bacteria	p:Actinobacteria	c:Actinobacteria	o:Frankiales	f:Frankiaceae	g:Jatrophihabitans	s:bacterium_Ellin5091
OTU_323	k:Bacteria	p:Proteobacteria	c:Alphaproteobacteria	o:Caulobacterales	f:Caulobacteraceae	Unclassified	Unclassified
OTU_326	k:Bacteria	p:Bacteroidetes	c:Sphingobacteriia	o:Sphingobacteriales	f:Chitinophagaceae	g:Segetibacter	Unclassified
OTU_324	k:Bacteria	p:Firmicutes	c:Erysipelotrichia	o:Erysipelotrichales	f:Erysipelotrichaceae	g:Erysipelotrichaceae_UCG-003	Unclassified
OTU_325	k:Bacteria	p:Acidobacteria	c:Acidobacteria	o:Subgroup_6	Unclassified	Unclassified	Unclassified
OTU_328	k:Bacteria	p:Cyanobacteria	c:Chloroplast	Unclassified	Unclassified	Unclassified	Unclassified
OTU_329	k:Bacteria	p:Proteobacteria	c:Betaproteobacteria	o:Nitrosomonadales	f:Nitrosomonadaceae	Unclassified	Unclassified
OTU_330	k:Bacteria	p:Actinobacteria	c:Acidimicrobiia	o:Acidimicrobiales	Unclassified	Unclassified	Unclassified
OTU_331	k:Bacteria	p:Firmicutes	c:Clostridia	o:Clostridiales	f:Lachnospiraceae	g:Anaerostipes	Unclassified
OTU_334	k:Bacteria	p:Proteobacteria	c:Deltaproteobacteria	o:Myxococcales	f:Cystobacteraceae	g:Melittangium	s:Melittangium_lichenicola
OTU_333	k:Bacteria	p:Acidobacteria	c:Acidobacteria	o:Acidobacteriales	f:Acidobacteriaceae_[Subgroup_1]	g:Terriglobus	s:Acidobacteria_bacterium_DRP-35
OTU_336	k:Bacteria	p:Proteobacteria	c:Alphaproteobacteria	o:Sphingomonadales	f:Sphingomonadaceae	g:Sphingomonas	Unclassified
OTU_335	k:Bacteria	p:Actinobacteria	c:Thermoleophilia	o:Gaiellales	Unclassified	Unclassified	Unclassified
OTU_337	k:Bacteria	p:Actinobacteria	c:Thermoleophilia	o:Solirubrobacterales	f:480-2	Unclassified	Unclassified
OTU_332	k:Bacteria	p:Firmicutes	c:Clostridia	o:Clostridiales	f:Lachnospiraceae	g:Roseburia	s:Roseburia_inulinivorans
OTU_338	k:Bacteria	p:Chloroflexi	c:Thermomicrobia	o:JG30-KF-CM45	Unclassified	Unclassified	Unclassified
OTU_347	k:Bacteria	p:Proteobacteria	c:Alphaproteobacteria	o:Rickettsiales	f:Mitochondria	Unclassified	Unclassified
OTU_339	k:Bacteria	p:Proteobacteria	c:Alphaproteobacteria	o:Rhodospirillales	f:Rhodospirillales_Incertae_Sedis	g:Reyranella	s:bacterium_Ellin5003
OTU_341	k:Bacteria	p:Armatimonadetes	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
OTU_342	k:Bacteria	p:Proteobacteria	c:Alphaproteobacteria	o:Sphingomonadales	f:Erythrobacteraceae	g:Altererythrobacter	Unclassified
OTU_340	k:Bacteria	p:Proteobacteria	c:Betaproteobacteria	o:Nitrosomonadales	f:Nitrosomonadaceae	Unclassified	Unclassified
OTU_345	k:Bacteria	p:Proteobacteria	c:Gammaproteobacteria	o:Xanthomonadales	f:Xanthomonadales_Incertae_Sedis	g:Steroidobacter	Unclassified
OTU_343	k:Bacteria	p:Actinobacteria	c:Actinobacteria	o:Streptosporangiales	f:Thermomonosporaceae	g:Actinoallomurus	Unclassified
OTU_346	k:Bacteria	p:Proteobacteria	c:Betaproteobacteria	o:Nitrosomonadales	f:Nitrosomonadaceae	Unclassified	Unclassified
OTU_344	k:Bacteria	p:Actinobacteria	c:Actinobacteria	o:Micromonosporales	f:Micromonosporaceae	g:Actinoplanes	s:Actinoplanes_auranticolor
OTU_349	k:Bacteria	p:Verrucomicrobia	c:OPB35_soil_group	Unclassified	Unclassified	Unclassified	Unclassified
OTU_348	k:Bacteria	p:Firmicutes	c:Bacilli	o:Bacillales	f:Paenibacillaceae	g:Paenibacillus	s:Paenibacillus_alginolyticus
OTU_350	k:Bacteria	p:Proteobacteria	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
OTU_351	k:Bacteria	p:Actinobacteria	c:Thermoleophilia	o:Solirubrobacterales	f:0319-6M6	Unclassified	Unclassified
OTU_352	k:Bacteria	p:Actinobacteria	c:Thermoleophilia	o:Solirubrobacterales	f:YNPFFP1	Unclassified	Unclassified
OTU_353	k:Bacteria	p:Proteobacteria	c:Alphaproteobacteria	o:Caulobacterales	f:Caulobacteraceae	g:Asticcacaulis	s:Asticcacaulis_solisilvae
OTU_354	k:Bacteria	p:Firmicutes	c:Bacilli	o:Bacillales	f:Alicyclobacillaceae	g:Tumebacillus	Unclassified
OTU_355	k:Bacteria	p:Gemmatimonadetes	c:Gemmatimonadetes	o:AT425-EubC11_terrestrial_group	Unclassified	Unclassified	Unclassified
OTU_357	k:Bacteria	p:Actinobacteria	c:Thermoleophilia	o:Gaiellales	f:Gaiellaceae	g:Gaiella	Unclassified
OTU_356	k:Bacteria	p:Actinobacteria	c:Thermoleophilia	o:Solirubrobacterales	f:0319-6M6	Unclassified	Unclassified
OTU_358	k:Bacteria	p:Proteobacteria	c:Alphaproteobacteria	o:Rhodospirillales	Unclassified	Unclassified	Unclassified
OTU_360	k:Bacteria	p:Actinobacteria	c:Thermoleophilia	o:Gaiellales	Unclassified	Unclassified	Unclassified
OTU_359	k:Bacteria	p:Actinobacteria	c:Actinobacteria	o:Pseudonocardiales	f:Pseudonocardiaceae	g:Actinophytocola	Unclassified
OTU_363	k:Bacteria	p:Chloroflexi	c:Anaerolineae	o:Anaerolineales	f:Anaerolineaceae	Unclassified	Unclassified
OTU_365	k:Bacteria	p:Planctomycetes	c:Phycisphaerae	o:WD2101_soil_group	Unclassified	Unclassified	Unclassified
OTU_361	k:Bacteria	p:Acidobacteria	c:Acidobacteria	o:Acidobacteriales	f:Acidobacteriaceae_[Subgroup_1]	Unclassified	Unclassified
OTU_362	k:Bacteria	p:Actinobacteria	c:Thermoleophilia	o:Gaiellales	Unclassified	Unclassified	Unclassified
OTU_366	k:Bacteria	p:Acidobacteria	c:Acidobacteria	o:Subgroup_4	f:RB41	Unclassified	Unclassified
OTU_364	k:Bacteria	p:Actinobacteria	c:Actinobacteria	o:Micrococcales	f:Microbacteriaceae	g:Agromyces	Unclassified
OTU_367	k:Bacteria	p:Proteobacteria	c:Betaproteobacteria	o:Burkholderiales	f:Alcaligenaceae	g:Parasutterella	Unclassified
OTU_368	k:Bacteria	p:Acidobacteria	c:Holophagae	o:Subgroup_10	f:ABS-19	Unclassified	Unclassified
OTU_370	k:Bacteria	p:Bacteroidetes	c:Bacteroidia	o:Bacteroidales	f:Bacteroidaceae	g:Bacteroides	Unclassified
OTU_369	k:Bacteria	p:Verrucomicrobia	c:Opitutae	o:Opitutales	f:Opitutaceae	g:Opitutus	Unclassified
OTU_373	k:Bacteria	p:Verrucomicrobia	c:OPB35_soil_group	Unclassified	Unclassified	Unclassified	Unclassified
OTU_375	k:Bacteria	p:Chloroflexi	c:Ktedonobacteria	o:JG30-KF-AS9	Unclassified	Unclassified	Unclassified
OTU_376	k:Bacteria	p:Acidobacteria	c:Acidobacteria	o:Subgroup_6	Unclassified	Unclassified	Unclassified
OTU_374	k:Bacteria	p:Bacteroidetes	c:Sphingobacteriia	o:Sphingobacteriales	f:Sphingobacteriaceae	g:Mucilaginibacter	Unclassified
OTU_371	k:Bacteria	p:Proteobacteria	c:Alphaproteobacteria	o:Sphingomonadales	Unclassified	Unclassified	Unclassified
OTU_372	k:Bacteria	p:Actinobacteria	c:Actinobacteria	o:Micrococcales	f:Promicromonosporaceae	g:Cellulosimicrobium	s:Cellulosimicrobium_sp._Chra-8
OTU_379	k:Bacteria	p:Chloroflexi	c:Chloroflexia	o:Chloroflexales	f:Roseiflexaceae	g:Roseiflexus	Unclassified
OTU_377	k:Bacteria	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
OTU_378	k:Bacteria	p:Proteobacteria	c:Deltaproteobacteria	o:Myxococcales	Unclassified	Unclassified	Unclassified
OTU_384	k:Bacteria	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
OTU_383	k:Bacteria	p:Bacteroidetes	c:Sphingobacteriia	o:Sphingobacteriales	f:Chitinophagaceae	g:Chitinophaga	Unclassified
